Accel X=17, Accel Y=-19, Accel Z=1062
Accel X=14, Accel Y=-16, Accel Z=1062
Accel X=13, Accel Y=-15, Accel Z=1062
Accel X=17, Accel Y=-13, Accel Z=1067
Accel X=16, Accel Y=-14, Accel Z=1066
Accel X=16, Accel Y=-14, Accel Z=1062
Accel X=19, Accel Y=-11, Accel Z=1064
Accel X=21, Accel Y=-16, Accel Z=1063
Accel X=18, Accel Y=-18, Accel Z=1061
Accel X=16, Accel Y=-16, Accel Z=1062
Accel X=18, Accel Y=-15, Accel Z=1067
Accel X=16, Accel Y=-16, Accel Z=1065
Accel X=16, Accel Y=-15, Accel Z=1063
Accel X=16, Accel Y=-15, Accel Z=1064
Accel X=17, Accel Y=-18, Accel Z=1060
Accel X=9, Accel Y=-21, Accel Z=1059
Accel X=13, Accel Y=-17, Accel Z=1060
Accel X=16, Accel Y=-15, Accel Z=1060
Accel X=15, Accel Y=-16, Accel Z=1058
Accel X=17, Accel Y=-18, Accel Z=1059
Accel X=17, Accel Y=-18, Accel Z=1060
Accel X=19, Accel Y=-18, Accel Z=1063
